size,num_sections,num_unique_sections,section_names_entropy,avg_section_size,min_section_size,max_section_size,total_section_size,avg_entropy,min_entropy,max_entropy,has_packed_sections,has_executable_sections,writable_executable_sections,num_imports,num_unique_dlls,num_unique_imports,imports_to_dlls_ratio,has_import_name_mismatches,suspicious_imports_count,num_exports,suspicious_exports,suspicious_api_chains,has_delayed_imports,is_dll,is_executable,is_system_file,has_aslr,has_dep,is_signed,has_rich_header,rich_header_entries,num_strings,avg_string_length,has_suspicious_strings,has_anti_debug,has_vm_detection_imports,has_vm_detection_strings,has_vm_mac_addresses,has_anti_debug_imports,has_anti_debug_strings,has_process_creation_imports,has_createprocess,has_setwindowshookex,has_nop_sleds,has_resources,num_resources,has_embedded_exe,has_debug,has_tls,has_relocations,ep_in_first_section,ep_in_last_section,ep_section_entropy,has_suspicious_sections,label
836064,7,7,2.807354922057604,116224.0,512,644608,813568,4.360761309272234,0.0,6.433250053131585,0,1,0,156,4,156,39.0,0,7,0,0,0,0,0,2,0,64,256,0,0,0,4827,8.695463020509633,1,1,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0,1,0,6.433250053131585,0,0
826368,4,4,2.0,206336.0,15872,579584,825344,4.928741839919172,4.103822787642382,6.370960170193247,0,1,0,458,15,458,30.533333333333335,0,9,0,0,1,0,0,2,0,0,0,0,0,0,2902,14.715368711233632,1,1,0,1,0,1,1,1,0,1,0,1,13,0,0,0,0,1,0,6.370960170193247,0,0
1203712,8,8,3.0,150336.0,512,651776,1202688,3.379386951876664,0.020393135236084953,6.649743205230402,0,1,0,272,9,272,30.22222222222222,0,11,2,1,2,0,0,2,0,64,256,0,0,0,5127,12.129120343280672,1,1,0,0,0,1,1,1,1,0,0,1,5,0,1,1,0,1,0,6.633392658468549,0,0
27592,3,3,1.584962500721156,1536.0,512,2560,4608,3.631772464829322,1.935098138588859,5.0012413928215915,0,1,0,38,3,38,12.666666666666666,0,1,0,0,0,0,0,2,0,0,0,0,0,0,209,11.789473684210526,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,5.0012413928215915,0,0
462848,5,5,2.321928094887362,92364.8,512,454656,461824,3.2827966731525904,0.40966099895371333,5.860442873545551,0,1,0,48,3,48,16.0,0,4,0,0,0,0,0,2,0,64,256,0,0,0,712,12.617977528089888,1,1,0,0,0,1,1,0,0,0,0,1,8,0,1,0,0,1,0,5.860442873545551,0,0
246592,6,6,2.584962500721156,23893.333333333332,0,98816,143360,2.86613463481563,0.0,6.497884651859417,1,1,0,171,8,171,21.375,1,4,0,0,0,0,0,2,0,64,256,0,0,0,1991,8.16926167754897,1,0,0,0,0,1,1,1,1,0,0,1,5,0,0,0,0,1,0,6.497884651859417,0,0
27656,2,2,1.0,8704.0,2048,15360,17408,4.328436163112462,3.597708581707464,5.059163744517461,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0,64,256,0,0,0,451,17.88691796008869,1,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0.0,0,0
110712,3,3,1.584962500721156,33450.666666666664,512,97792,100352,3.2049429161967056,0.10191042566270775,5.845208410151887,0,1,0,1,1,1,1.0,0,0,0,0,0,0,0,2,0,64,256,0,0,0,1648,15.719660194174757,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,5.845208410151887,0,0
146552,5,5,2.321928094887362,27136.0,5120,103424,135680,4.831417991026056,2.766831571310264,6.580399795840483,0,1,0,174,13,174,13.384615384615385,1,4,0,0,0,0,0,2,0,64,256,0,0,0,1710,16.41578947368421,1,0,0,0,0,1,1,1,0,0,0,1,8,0,1,0,0,1,0,5.678246612081221,0,0
4276536,2,2,1.0,2127104.0,512,4253696,4254208,2.935201033311983,2.021058216328398,3.8493438502955684,0,0,0,0,0,0,0.0,0,0,0,0,0,0,8192,2,0,64,256,0,0,0,3367,9.47074547074547,1,0,0,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0.0,0,0
